year,ari_design,duration,n_exceedances
1900,1,24hr,2
1901,1,24hr,2
1902,1,24hr,2
1903,1,24hr,2
1904,1,24hr,2
1905,1,24hr,2
1906,1,24hr,0
1907,1,24hr,0
1908,1,24hr,3
1909,1,24hr,5
1910,1,24hr,3
1911,1,24hr,1
1912,1,24hr,2
1913,1,24hr,0
1914,1,24hr,3
1915,1,24hr,5
1916,1,24hr,4
1917,1,24hr,5
1918,1,24hr,3
1919,1,24hr,3
1920,1,24hr,1
1921,1,24hr,4
1922,1,24hr,1
1923,1,24hr,3
1924,1,24hr,3
1925,1,24hr,2
1926,1,24hr,4
1927,1,24hr,2
1928,1,24hr,4
1929,1,24hr,3
1930,1,24hr,6
1931,1,24hr,1
1932,1,24hr,2
1933,1,24hr,6
1934,1,24hr,5
1935,1,24hr,5
1936,1,24hr,3
1937,1,24hr,4
1938,1,24hr,6
1939,1,24hr,5
1940,1,24hr,3
1941,1,24hr,6
1942,1,24hr,4
1943,1,24hr,6
1944,1,24hr,8
1945,1,24hr,10
1946,1,24hr,3
1947,1,24hr,9
1948,1,24hr,6
1949,1,24hr,11
1950,1,24hr,6
1951,1,24hr,9
1952,1,24hr,1
1953,1,24hr,8
1954,1,24hr,6
1955,1,24hr,3
1956,1,24hr,4
1957,1,24hr,5
1958,1,24hr,4
1959,1,24hr,7
1960,1,24hr,13
1961,1,24hr,2
1962,1,24hr,6
1963,1,24hr,10
1964,1,24hr,8
1965,1,24hr,6
1966,1,24hr,3
1967,1,24hr,4
1968,1,24hr,11
1969,1,24hr,5
1970,1,24hr,3
1971,1,24hr,9
1972,1,24hr,4
1973,1,24hr,4
1974,1,24hr,8
1975,1,24hr,4
1976,1,24hr,8
1977,1,24hr,3
1978,1,24hr,2
1979,1,24hr,9
1980,1,24hr,5
1981,1,24hr,7
1982,1,24hr,11
1983,1,24hr,5
1984,1,24hr,2
1985,1,24hr,6
1986,1,24hr,4
1987,1,24hr,7
1988,1,24hr,9
1989,1,24hr,2
1990,1,24hr,3
1991,1,24hr,6
1992,1,24hr,8
1993,1,24hr,3
1994,1,24hr,4
1995,1,24hr,8
1996,1,24hr,3
1997,1,24hr,12
1998,1,24hr,10
1999,1,24hr,5
2000,1,24hr,6
2001,1,24hr,12
2002,1,24hr,6
2003,1,24hr,7
2004,1,24hr,11
2005,1,24hr,6
2006,1,24hr,9
2007,1,24hr,4
2008,1,24hr,1
2009,1,24hr,7
2010,1,24hr,2
2011,1,24hr,11
2012,1,24hr,13
2013,1,24hr,4
2014,1,24hr,8
2015,1,24hr,6
2016,1,24hr,11
