year,n_exc,n_active,exc_fraction,observed_ari,ari_smooth
1900,0,7,0,0,NA
1901,0,7,0,0,NA
1902,0,7,0,0,0.014000000000000002
1903,1,7,0.14285714285714285,0.07,0.014000000000000002
1904,0,7,0,0,0.014000000000000002
1905,0,7,0,0,0.014000000000000002
1906,0,7,0,0,0
1907,0,7,0,0,0
1908,0,7,0,0,0
1909,0,7,0,0,0
1910,0,7,0,0,0
1911,0,7,0,0,0
1912,0,7,0,0,0
1913,0,7,0,0,0.016
1914,0,8,0,0,0.016
1915,1,8,0.125,0.08,0.016
1916,0,8,0,0,0.016
1917,0,8,0,0,0.016
1918,0,9,0,0,0
1919,0,8,0,0,0.014000000000000002
1920,0,7,0,0,0.014000000000000002
1921,1,7,0.14285714285714285,0.07,0.014000000000000002
1922,0,7,0,0,0.014000000000000002
1923,0,8,0,0,0.014000000000000002
1924,0,8,0,0,0
1925,0,8,0,0,0
1926,0,8,0,0,0
1927,0,9,0,0,0
1928,0,9,0,0,0
1929,0,8,0,0,0
1930,0,8,0,0,0
1931,0,7,0,0,0.014000000000000002
1932,0,7,0,0,0.028000000000000004
1933,1,7,0.14285714285714285,0.07,0.028000000000000004
1934,1,7,0.14285714285714285,0.07,0.028000000000000004
1935,0,7,0,0,0.028000000000000004
1936,0,8,0,0,0.014000000000000002
1937,0,8,0,0,0
1938,0,8,0,0,0
1939,0,9,0,0,0
1940,0,9,0,0,0
1941,0,9,0,0,0
1942,0,9,0,0,0
1943,0,11,0,0,0.01
1944,0,11,0,0,0.01
1945,2,10,0.2,0.05,0.01
1946,0,10,0,0,0.01
1947,0,10,0,0,0.01
1948,0,15,0,0,0
1949,0,15,0,0,0
1950,0,15,0,0,0
1951,0,15,0,0,0
1952,0,14,0,0,0
1953,0,14,0,0,0
1954,0,14,0,0,0
1955,0,15,0,0,0
1956,0,15,0,0,0
1957,0,15,0,0,0
1958,0,15,0,0,0
1959,0,15,0,0,0
1960,0,15,0,0,0
1961,0,15,0,0,0
1962,0,15,0,0,0
1963,0,15,0,0,0
1964,0,15,0,0,0
1965,0,15,0,0,0
1966,0,15,0,0,0
1967,0,14,0,0,0
1968,0,15,0,0,0
1969,0,15,0,0,0
1970,0,15,0,0,0
1971,0,15,0,0,0
1972,0,14,0,0,0
1973,0,15,0,0,0
1974,0,15,0,0,0
1975,0,15,0,0,0
1976,0,15,0,0,0
1977,0,15,0,0,0.015
1978,0,15,0,0,0.015
1979,2,15,0.13333333333333333,0.075,0.015
1980,0,15,0,0,0.045
1981,0,15,0,0,0.075
1982,1,15,0.06666666666666667,0.15,0.06
1983,1,15,0.06666666666666667,0.15,0.06
1984,0,15,0,0,0.06
1985,0,15,0,0,0.03
1986,0,15,0,0,0
1987,0,15,0,0,0
1988,0,15,0,0,0
1989,0,15,0,0,0
1990,0,15,0,0,0.03
1991,0,15,0,0,0.03
1992,1,15,0.06666666666666667,0.15,0.03
1993,0,15,0,0,0.03
1994,0,15,0,0,0.03
1995,0,15,0,0,0
1996,0,14,0,0,0
1997,0,14,0,0,0
1998,0,14,0,0,0
1999,0,14,0,0,0
2000,0,14,0,0,0
2001,0,14,0,0,0
2002,0,14,0,0,0
2003,0,14,0,0,0
2004,0,14,0,0,0
2005,0,14,0,0,0
2006,0,14,0,0,0
2007,0,14,0,0,0
2008,0,14,0,0,0
2009,0,14,0,0,0
2010,0,13,0,0,0
2011,0,15,0,0,0
2012,0,15,0,0,0
2013,0,15,0,0,0
2014,0,15,0,0,0
2015,0,15,0,0,0.028000000000000004
2016,0,14,0,0,0.028000000000000004
2017,1,14,0.07142857142857142,0.14,0.028000000000000004
2018,0,13,0,0,0.028000000000000004
2019,0,13,0,0,0.028000000000000004
2020,0,13,0,0,0.012
2021,0,12,0,0,0.012
2022,2,12,0.16666666666666666,0.06,0.0168
2023,0,12,0,0,0.0168
2024,5,12,0.4166666666666667,0.024,NA
2025,0,12,0,0,NA
